id,screenName,userId,timestamp,type,text,userEnteredText,hashtags
1327292651314569218,LorenzPardini,623536105,1605286202,tweet,"Su @MiTomorrow il #bcmilano campione d'Italia @FederBadminton 

#badminton #milan #milano #mitomorrow #press #sport #coni #fiba #albertomiglietta #mitomorrow #italia #lockdown #Covid_19 #COVIDー19 #coronavirus #COVID #yonex #badmintoneurope #badmintonitaly #interview https://t.co/YeBAHQzh08","Su @MiTomorrow il #bcmilano campione d'Italia @FederBadminton 

#badminton #milan #milano #mitomorrow #press #sport #coni #fiba #albertomiglietta #mitomorrow #italia #lockdown #Covid_19 #COVIDー19 #coronavirus #COVID #yonex #badmintoneurope #badmintonitaly #interview https://t.co/YeBAHQzh08","['bcmilano', 'badminton', 'milan', 'milano', 'mitomorrow', 'press', 'sport', 'coni', 'fiba', 'albertomiglietta', 'mitomorrow', 'italia', 'lockdown', 'Covid_19', 'COVIDー19', 'coronavirus', 'COVID', 'yonex', 'badmintoneurope', 'badmintonitaly', 'interview']"
1327284374853857282,PagliariniSte,411540282,1605284229,tweet,"🟧 BREAKING NEWS
È di ora la notizia che il Ministro @robersperanza ha chiamato il Presidente delle Marche @AcquaroliF per anticipargli la novità: le #Marche passano da regione gialla ad arancione e aumentano i divieti #Lockdown2 #coronavirus #LockdownLight #zonaarancione #Dpcm https://t.co/NTglMi3EuP","🟧 BREAKING NEWS
È di ora la notizia che il Ministro @robersperanza ha chiamato il Presidente delle Marche @AcquaroliF per anticipargli la novità: le #Marche passano da regione gialla ad arancione e aumentano i divieti #Lockdown2 #coronavirus #LockdownLight #zonaarancione #Dpcm https://t.co/NTglMi3EuP","['Marche', 'Lockdown2', 'coronavirus', 'LockdownLight', 'zonaarancione', 'Dpcm']"
1327283916860960768,petergomezblog,274093178,1605284120,tweet,"#Coronavirus, 40.092 nuovi casi su 254mila tamponi. I morti sono 550, crescono i ricoveri https://t.co/4xxW4Ap8hG","#Coronavirus, 40.092 nuovi casi su 254mila tamponi. I morti sono 550, crescono i ricoveri https://t.co/4xxW4Ap8hG",['Coronavirus']
1327283782114828288,leomigliaccio93,811882168259608576,1605284088,quote,"Superata la soglia dei 40 mila ... #coronavirus #Italia #COVID19italia https://t.co/nt761QLrwC
🔴 #Coronavirus, 13/11/20

• Attualmente positivi: 663.926
• Deceduti: 44.139 (+550)
• Dimessi/Guariti: 399.238 (+11.480)
• Ricoverati: 34.144 (+1.101)
• di cui in Terapia Intensiva: 3.230 (+60)
• Tamponi: 18.455.416 (+254.908)

Totale casi: 1.107.303 (+40.902, +3,84%)",Superata la soglia dei 40 mila ... #coronavirus #Italia #COVID19italia https://t.co/nt761QLrwC,['Coronavirus']
1327283144798720004,PLdelFrignano,2851152323,1605283936,tweet,"#PLinforma #coronavirus nel rispetto della nuova ordinanza della @RegioneER i mercati settimanali nei Comuni di #Pavullo, #Fanano, #Fiumalbo e #Pievepelago sono sospesi fino a nuova comunicazione. Vi terremo aggiornati su tutte le ulteriori modifiche, #noicisiamo. https://t.co/0sSakMpxzi","#PLinforma #coronavirus nel rispetto della nuova ordinanza della @RegioneER i mercati settimanali nei Comuni di #Pavullo, #Fanano, #Fiumalbo e #Pievepelago sono sospesi fino a nuova comunicazione. Vi terremo aggiornati su tutte le ulteriori modifiche, #noicisiamo. https://t.co/0sSakMpxzi","['PLinforma', 'coronavirus', 'Pavullo', 'Fanano', 'Fiumalbo', 'Pievepelago', 'noicisiamo']"
1327276177409642503,SErrico77,3253796020,1605282274,tweet,"In #rai un'imbarcata di Gay.
Ma chi le fa le selezioni???
#venerdi13 #giornatadellagentilezza #13novembre #COVID19 #coronavirus #Lockdown2 #StaseraItalia #Pomeriggio5 .","In #rai un'imbarcata di Gay.
Ma chi le fa le selezioni???
#venerdi13 #giornatadellagentilezza #13novembre #COVID19 #coronavirus #Lockdown2 #StaseraItalia #Pomeriggio5 .","['rai', 'venerdi13', 'giornatadellagentilezza', '13novembre', 'COVID19', 'coronavirus', 'Lockdown2', 'StaseraItalia', 'Pomeriggio5']"
1327275798047444997,oigresoiggas,194312764,1605282184,tweet,"Oggi una ""virologa"" davanti alla scuola di mio figlio! ""Bisogna distinguere tra i morti di #COVID19 e #coronavirus"" 🤔
Da Torino è tutto, a voi la linea!
#13Novembre2020","Oggi una ""virologa"" davanti alla scuola di mio figlio! ""Bisogna distinguere tra i morti di #COVID19 e #coronavirus"" 🤔
Da Torino è tutto, a voi la linea!
#13Novembre2020","['COVID19', 'coronavirus', '13Novembre2020']"
1327260845534015489,rolforli,1254849099859361798,1605278619,tweet,"ROL come molte #realtà si sta mettendo a disposizione per (ri)combatte  #COVID19, per questo motivo le produzioni di film #pet utili a creare #VISIERE PROTETTIVE  sono garantite e disponibili  con un BASSO QUANTITATIVO e in #TEMPI #BREVI.  
#COVID19 #coronavirus.","ROL come molte #realtà si sta mettendo a disposizione per (ri)combatte  #COVID19, per questo motivo le produzioni di film #pet utili a creare #VISIERE PROTETTIVE  sono garantite e disponibili  con un BASSO QUANTITATIVO e in #TEMPI #BREVI.  
#COVID19 #coronavirus.","['realtà', 'COVID19', 'pet', 'VISIERE', 'TEMPI', 'BREVI', 'COVID19', 'coronavirus']"
1327258705059065856,R__Pizzi,2944929857,1605278109,quote,"I nati nel #Sagittario sono immuni al #coronavirus, beati loro. Si sa niente del #Toro? https://t.co/7nGklWjwrO
E comunque, nel 2020, tutto è iniziato così https://t.co/Cn6RVcnsJ8","I nati nel #Sagittario sono immuni al #coronavirus, beati loro. Si sa niente del #Toro? https://t.co/7nGklWjwrO","['Sagittario', 'coronavirus', 'Toro']"
1327255749664321536,EnzoSan69,145284956,1605277404,tweet,"#tagada,  l'unica cosa su cui sono d'accordo con #DeLuca è la mancanza di controlli, ma sui dati sui posti letto c'è da ridere... Per non piangere! @tagadala7 #coronavirus #COVID19 #Campania #Napoi","#tagada,  l'unica cosa su cui sono d'accordo con #DeLuca è la mancanza di controlli, ma sui dati sui posti letto c'è da ridere... Per non piangere! @tagadala7 #coronavirus #COVID19 #Campania #Napoi","['tagada', 'DeLuca', 'coronavirus', 'COVID19', 'Campania', 'Napoi']"
